"","id_norma","tipo_norma","numero_norma","clase_norma","organismo_origen","fecha_sancion","numero_boletin","fecha_boletin","pagina_boletin","titulo_resumido","titulo_sumario","texto_resumido","observaciones","texto_original","texto_actualizado","modificada_por","modifica_a","presidente","DNU"
"1",14684,"DNU","290",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1995-02-27,28093,1995-03-01,2,"REDUCCION DEL GASTO","ADMINISTRACION PUBLICA NACIONAL","REDUCCION DEL GASTO PUBLICO Y REFORMA A LA CARTA ORGANICA DEL BANCO CENTRAL.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/10000-14999/14684/norma.htm","http://servicios.infoleg.gob.ar/infolegInternet/anexos/10000-14999/14684/texact.htm",42,3,"Menem",TRUE
"2",20427,"DNU","747",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1995-03-31,28157,1995-06-05,11,"DISMINUCION DE GASTOS","PRESUPUESTO GENERAL DE LA ADM. NAC. 1995","INSTRUMENTASE LA DISMINUCION DE GASTOS DISPUESTA POR EL ARTICULO 15 DEL DECRETO Nº 290/95 EN DISTINTAS JURISDICCIONES QUE CONFORMAN EL PRESUPUESTO GENERAL DE LA ADMINISTRACION NACIONAL PARA EL EJERCICIO 1995, DE ACUERDO CON EL DETALLE OBRANTE EN PLANILLASANEXAS AL PRESENTE ARTICULO OBRANTE EN PLANILLAS ANEXAS AL PRESENTE ARTICULO QUE FORMAN PARTE INTEGRANTE DEL MISMO.- CAD.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/20000-24999/20427/norma.htm",NA,0,1,"Menem",TRUE
"3",22380,"DNU","847",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1995-06-22,28172,1995-06-27,1,"LEY Nº 24.487","PROMULGACION PARCIAL","OBSERVESE EL PARRAFO TERCERO DEL ARTICULO 4º DEL PROYECTO DE LEY SANCIONADO BAJO EL Nº 24.487 EN LA PARTE QUE DICE: 'Y ACORDARA... PREVISTO EN LA LEY Nº23.789'. PROMULGASE EN EL RESTO Y TENGASE POR LEY DE LA NACION.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/20000-24999/22380/norma.htm",NA,0,1,"Menem",TRUE
"4",23055,"DNU","895",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1995-06-29,28177,1995-07-04,2,"LEY Nº 24.496","PROMULGACION PARCIAL","OBSERVESE EL ARTICULO 7º DEL PROYECTO DE LEY REGISTRADO BAJO EL Nº 24.496. PROMULGASE EN EL RESTO Y TENGASE POR LEY DE LA NACION.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/20000-24999/23055/norma.htm",NA,0,1,"Menem",TRUE
"5",92894,"DNU","859",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1995-12-07,28288,1995-12-11,3,"LEY Nº 19.987 - MODIFICACION","LEY ORGANICA DE LA CIUDAD DE BUENOS AIRES","INCORPORASE UNA CLAUSULA TRANSITORIA A LA LEY Nº 19.987.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/90000-94999/92894/norma.htm",NA,0,1,"Menem",TRUE
"6",37057,"DNU","547",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1996-05-22,28401,1996-05-23,4,"LEY Nº 24.587 - PRORROGA DE UN PLAZO","NOMINATIVIDAD DE LOS TITULOS VALORES PRIVADOS","PRORROGASE EL PLAZO PREVISTO EN EL ART. 8º DE LA LEY Nº 24587 PARA LA CONVERSION DE LOS TITULOS VALORES PRIVADOS DE DEUDA EMITIDOS AL PORTADOR Y COLOCADOS EN MERCADOS DEL EXTERIOR QUE CUENTEN CON AUTORIZACION PARA HACER OFERTA PUBLICA.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/35000-39999/37057/norma.htm",NA,0,1,"Menem",TRUE
"7",37881,"DNU","770",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1996-07-15,28436,1996-07-16,10,"NUEVO REGIMEN","ASIGNACIONES FAMILIARES","ASIGNACIONES FAMILIARES. INSTITUYESE UN NUEVO REGIMEN CON ALCANCE NACIONAL. EXCEPCIONES. FINANCIAMIENTO. PRESTACIONES. DEJASE SIN EFECTO LA LEY Nº 18.017 Y SUS DECRETOS REGLAMENTARIOS.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/35000-39999/37881/norma.htm",NA,9,3,"Menem",TRUE
"8",38015,"DNU","804",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1996-07-16,28442,1996-07-24,2,"ACTIVIDADES INDUSTRIALES","PROMOCION INDUSTRIAL","PRESENTACION QUE DEBERAN EFECTUAR LOS TITULARES DE PROYECTOS PROMOVIDOS QUE HUBIERAN FORMALIZADO SU PERMANENCIA EN EL REGIMEN DE SUSTITUCION DE BENEFICIOS ESTABLECIDO EN EL TITULO I DEL DECRETO Nº 2054/92. EL PRESENTE ENTRARA EN VIGENCIA EL DIA DE SU PUBLICACION EN EL BOLETIN OFICIAL.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/35000-39999/38015/norma.htm",NA,12,2,"Menem",TRUE
"9",38507,"DNU","925",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1996-08-08,28455,1996-08-12,2,"RELEVAMIENTO Y CONTROL DE DEUDAS","INSTITUTO NACIONAL DE SERVICIOS SOCIALES","DISPONESE EL RELAMIENTO Y CONTROL DE LAS DUDAS Y CREDITOS QUE EL CITADO INSTITUTO MANTIENE CON TERCEROS AL 01/08/96. RENEGOCIACION DE CONTRATOS. REVISION INTEGRAL DE LA ESTRUCTURA ORGANICA.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/35000-39999/38507/norma.htm",NA,9,2,"Menem",TRUE
"10",39700,"DNU","1125",NA,"PODER EJECUTIVO NACIONAL (P.E.N.)",1996-10-04,28495,1996-10-08,2,"CREDITO FISCAL - AFECTACION -","PROMOCION INDUSTRIAL","COMPLEMENTANSE LAS DISPOSICIONES DEL DECRETO Nº 804/96 PARA LOS TITULARES DE PROYECTOS PROMOVIDOS COMPRENDIDOS EN EL ARTICULO 1º DEL MISMO, QUE EXPORTAREN TOTAL O PARCIALMENTE SU PRODUCCION PROMOVIDA.",NA,"http://servicios.infoleg.gob.ar/infolegInternet/anexos/35000-39999/39700/norma.htm",NA,4,1,"Menem",TRUE
